date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:48:15	106/106	---M-Z	200	added ('OK')	text/plain	etag:%22cc42c7d205e8bb5b701096919faebe28%22	https://important-today-120931.framer.app/robots.txt		(from )
14:48:15	367068/367068	---M-Z	200	added ('OK')	text/html	etag:%22b2b42d7f827e385dfd5ad5de0409084c%22	https://important-today-120931.framer.app/	C:/Users/merca/Downloads/HTTRACK/capstoneers/important-today-120931.framer.app/index.html	(from )
14:48:15	3677/3677	---M--	200	added ('OK')	image/png	etag:%22c6bff91066e875fbdf309b664c3e30a7%22	https://framerusercontent.com/sites/icons/default-favicon.v3.png	C:/Users/merca/Downloads/HTTRACK/capstoneers/framerusercontent.com/sites/icons/default-favicon.v3.png	(from https://important-today-120931.framer.app/)
14:48:16	4268/4268	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2019%20Jun%202024%2006:48:15%20GMT	https://important-today-120931.framer.app/&apos;https://framerusercontent.com/images/rR6HYXBrMmX4cRpXfXUOvpvpB0.png&apos;	C:/Users/merca/Downloads/HTTRACK/capstoneers/important-today-120931.framer.app/&apos;https_/framerusercontent.com/images/rR6HYXBrMmX4cRpXfXUOvpvpB0.2.delayed	(from https://important-today-120931.framer.app/)
14:48:16	4268/4268	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2019%20Jun%202024%2006:48:16%20GMT	https://important-today-120931.framer.app/&apos;data:image/svg+xml;utf8,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20xmlns%3Axlink%3D%22http%3A%2F%2Fwww.w3.org%2F1999%2Fxlink%22%20viewBox%3D%220%200%2050%2050%22%3E%3Cpath%20d%3D%22M%2026.692%200.287%20L%2023.171%200.287%20L%2023.171%2020.682%20L%208.75%206.261%20L%206.261%208.75%20L%2020.682%2023.171%20L%200.287%2023.171%20L%200.287%2026.692%20L%2020.682%2026.692%20L%206.261%2041.113%20L%208.75%2043.602%20L%2023.171%2029.181%20L%2023.171%2049.576%20L%2026.692%2049.576%20L%2026.692%2029.181%20L%2041.113%2043.602%20L%2043.603%2041.113%20L%2029.181%2026.692%20L%2049.576%2026.692%20L%2049.576%2023.171%20L%2029.181%2023.171%20L%2043.602%208.75%20L%2041.113%206.26%20L%2026.692%2020.682%20Z%22%20fill%3D%22rgb(255%2C%20255%2C%20255	C:/Users/merca/Downloads/HTTRACK/capstoneers/important-today-120931.framer.app/&apos;data_image/svg+xml;utf8,_svg%20xmlns=_http_/www.w3.org/2000/svg_%20xmlns_xlink=_http_/www.w3.org/1999/xlink_%20viewBox=_0%200%2050%2050___path%20d=_M%2026.692%200.287%20L	(from https://important-today-120931.framer.app/)
14:48:17	2560/2560	---MC-	200	added ('OK')	image/png	etag:%2229957d21ffa0ce9b62275f2d38a4f728%22	https://framerusercontent.com/images/Ol7Ba0XPpgkc1A85oQsmhjYLhA.png	C:/Users/merca/Downloads/HTTRACK/capstoneers/framerusercontent.com/images/Ol7Ba0XPpgkc1A85oQsmhjYLhA.png	(from https://important-today-120931.framer.app/)
14:48:17	3218/3218	---MC-	200	added ('OK')	image/png	etag:%22843fd7a1642fcc20285cde447882220e%22	https://framerusercontent.com/images/J7XaBYf77NPFXUaHK75deYcDg.png	C:/Users/merca/Downloads/HTTRACK/capstoneers/framerusercontent.com/images/J7XaBYf77NPFXUaHK75deYcDg.png	(from https://important-today-120931.framer.app/)
14:48:17	1992/1992	---MC-	200	added ('OK')	image/png	etag:%226bbe6f9031b5ddc3ac739b1d5b0d4bf1%22	https://framerusercontent.com/images/EGNZlugVhMJXCdZQ2PWViGHkDA.png	C:/Users/merca/Downloads/HTTRACK/capstoneers/framerusercontent.com/images/EGNZlugVhMJXCdZQ2PWViGHkDA.png	(from https://important-today-120931.framer.app/)
14:48:18	2869/2869	---MC-	200	added ('OK')	image/png	etag:%227267f67bb6895e8ea0b0587185fb60b0%22	https://framerusercontent.com/images/nSUlZo2ORvRP7O1Itnh1KH4Kp8.png	C:/Users/merca/Downloads/HTTRACK/capstoneers/framerusercontent.com/images/nSUlZo2ORvRP7O1Itnh1KH4Kp8.png	(from https://important-today-120931.framer.app/)
14:48:18	3405/3405	---MC-	200	added ('OK')	image/png	etag:%22eb871b525268138ac0d7596383acc2a3%22	https://framerusercontent.com/images/KZPDngRNJfvB72qRrctdSHmtM.png	C:/Users/merca/Downloads/HTTRACK/capstoneers/framerusercontent.com/images/KZPDngRNJfvB72qRrctdSHmtM.png	(from https://important-today-120931.framer.app/)
